Ai,EDAS,EDAS dir
BEL,0.0004601126606033068,-1.0
BGR,0.13939142698609586,1.0
CZE,0.0002926296283811691,-1.0
DNK,0.0003743929694245418,-1.0
DEU,0.0004550792702419093,-1.0
EST,0.0008565622352624258,1.0
IRL,0.0036203284398964586,-1.0
GRC,0.032049195179252754,-1.0
ESP,0.030571500622556202,-1.0
FRA,0.001984994834805187,-1.0
HRV,0.0006637876296888834,-1.0
ITA,0.001353274080674427,1.0
CYP,0.17318132574073197,-1.0
LVA,0.0002655223653672545,1.0
LTU,0.22478644835263606,1.0
LUX,9.760659469182364e-05,-1.0
HUN,0.0008027017390085378,-1.0
MLT,0.0037143158997102743,-1.0
NLD,0.0010938852911411834,-1.0
AUT,0.0005184703382848932,-1.0
POL,0.0004536286570564485,-1.0
PRT,0.004114609536120639,-1.0
ROU,0.007785407074773043,-1.0
SVN,0.00037537333450554655,-1.0
SVK,0.0015545342963310116,-1.0
FIN,0.00011710142288778869,1.0
SWE,7.981428821501879e-05,-1.0
ISL,0.00010898185121233084,1.0
NOR,2.1977100295167418e-07,-1.0
