Country,DARIA-EDAS pref,DARIA-EDAS rank
BEL,0.293565516337691,17
BGR,0.1440669102096786,25
CZE,0.35391528052214033,11
DNK,0.5279171095551783,5
DEU,0.36453877557746894,10
EST,0.46854414372633435,6
IRL,0.2728726285874162,20
GRC,0.0073852051112698325,28
ESP,0.08017372620085647,27
FRA,0.3191205375875762,14
HRV,0.3349841880783741,12
ITA,0.2751820669805266,19
CYP,-0.1698440503627346,29
LVA,0.4131847094398254,8
LTU,0.3342818140651998,13
LUX,0.2906610057797764,18
HUN,0.2520881726653774,21
MLT,0.10093602727949275,26
NLD,0.293958419452376,16
AUT,0.43704938289149764,7
POL,0.3016672120417723,15
PRT,0.14734550268583238,24
ROU,0.21286819593835535,23
SVN,0.3968668195461435,9
SVK,0.251637107162673,22
FIN,0.5540966162280723,4
SWE,0.6160541096927052,3
ISL,0.643995148291997,2
NOR,0.9981645781870585,1
