,Ai,Variability,dir list
0,BEL,0.0004601126606033068,$\downarrow$
1,BGR,0.13939142698609586,$\uparrow$
2,CZE,0.0002926296283811691,$\downarrow$
3,DNK,0.0003743929694245418,$\downarrow$
4,DEU,0.0004550792702419093,$\downarrow$
5,EST,0.0008565622352624258,$\uparrow$
6,IRL,0.0036203284398964586,$\downarrow$
7,GRC,0.032049195179252754,$\downarrow$
8,ESP,0.030571500622556202,$\downarrow$
9,FRA,0.001984994834805187,$\downarrow$
10,HRV,0.0006637876296888834,$\downarrow$
11,ITA,0.001353274080674427,$\uparrow$
12,CYP,0.17318132574073197,$\downarrow$
13,LVA,0.0002655223653672545,$\uparrow$
14,LTU,0.22478644835263606,$\uparrow$
15,LUX,9.760659469182364e-05,$\downarrow$
16,HUN,0.0008027017390085378,$\downarrow$
17,MLT,0.0037143158997102743,$\downarrow$
18,NLD,0.0010938852911411834,$\downarrow$
19,AUT,0.0005184703382848932,$\downarrow$
20,POL,0.0004536286570564485,$\downarrow$
21,PRT,0.004114609536120639,$\downarrow$
22,ROU,0.007785407074773043,$\downarrow$
23,SVN,0.00037537333450554655,$\downarrow$
24,SVK,0.0015545342963310116,$\downarrow$
25,FIN,0.00011710142288778869,$\uparrow$
26,SWE,7.981428821501879e-05,$\downarrow$
27,ISL,0.00010898185121233084,$\uparrow$
28,NOR,2.1977100295167418e-07,$\downarrow$
